"2","allgbwlrisiko","Allgemeine Betriebswirtschaftslehre, Risikomanagement und Versicherungslehre","versicherlehre"
"4","anwaltnotarrecht","Anwalts- und Notarrecht, Dokumentationszentrum","europaanwrecht"
"5","bankbetr","Bankbetriebslehre","allgbwlbank"
"6","stavv","StAVV - Studierendenausschuss der Vollversammlung (der Humanwiss. Fak.)","fachschaftew"
"9","betwsteuer","Betriebswirtschaftliche Steuerlehre","allgbwlbetrsteuer"
"10","bib","Bibliothek der Universität","unibib"
"11","bilanzstrecht","Bilanz- und Steuerrecht","buergrbilanz"
"12","buergrdhandel","Bürgerliches Recht, Deutsches und Internationales Handels-, Wirtschafts- und Bankrecht, Internationales Privatrecht","bankrecht"
"15","controllingmed","Controlling (Med. Fak.)","zentralbereichms"
"16","controllingwiso","Controlling (WiSo Fak.)","allgbwlcontrolling"
"20","epidemiologie","Epidemiologie","medizinstatistik"
"21","ethik","Ethik (Geschichte und Ethik der Medizin)","geschethik"
"23","fakultaetsrat","Fakultätsrat der Math-Nat. Fakultät","fachschaftmathnat"
"24","fgs","FGS - Förderung des Gasthörer- und Seniorenstudiums","vereinfoerder"
"25","finanzlehre","Finanzierungslehre","allgbwlfinanz"
"27","forschtransfer","Forschungstransfer","drittmittel"
"28","fortune","Fortune (Forschungspool der Med. Fakultät)","koelnfortune"
"29","gasthoerer","Gasthörer (Koordinierungsstelle)","koordstgasthoerer"
"31","geochemie","Geochemie","mineralogie"
"32","gesundmanage","Gesundheitswesen (Management)","allgbwlgesundheit"
"34","grosserklausuren","Großer Examens- und Klausurenkurs","klausurenkurs"
"35","gynaekologie","Gynäkologie","frauenheilkunde"
"36","handeldistribution","Handel und Kundenmanagement","allgbwlhandel"
"37","handelgesrecht","Handels- und Gesellschaftsrecht, Arbeitsrecht und Europäische Privatrechtsentwicklung","buergrhandel"
"38","handelrechtschutz","Handels- und Gesellschaftsrecht und Gewerblicher Rechtsschutz","buergrrechtschutz"
"39","hautklinik","Hautklinik","dermatologie"
"40","heilppsycho1","Heilpädagogische Psychologie (Prof. Fengler)","psychohpf1"
"41","hochsportuni","Hochschulsport (Uni)","campussport"
"43","informationkommtech","Informations- und Kommunikationstechnologie (Med. Fak.)","ukit"
"45","judaistik","Judaistik","martinbuber"
"46","kinderheil","Kinderheilkunde (Kinderklinik)","allgkinder"
"47","kinderjpsych","Kinder- und Jugendpsychiatrie","psychiatriekind"
"48","klinrz","uk-it Köln Bonn","ukit"
"49","koelnalumni","Köln Alumni (Absolventennetzwerk der Uni Köln)","alumni"
"53","labmolneuro","Laboratorium für Molekulare Neuroforschung","molekulneuro"
"54","lehrkrnkhs","Lehrkrankenhäuser","akadlehrkrkhs"
"55","lehrlatein","Lehr- und Forschungszentrum Lateinamerika (LFZL)","zentrumlateinamerika"
"56","lehrphysio","Lehranstalt für Physiotherapie","physiotherapie"
"58","medienmanage","Medienmanagement","allgbwlmedien"
"60","medizincontrolling","Medizinisches Controlling","zentralbereichms"
"61","medizinzentralbib","Medizinische Zentralbibliothek","deutschzentralbib"
"62","medsynergien","Medizinische Synergien","zentralbereichms"
"64","naturheil","Naturheilverfahren","wisseval"
"70","paedwiso","Pädagogik (WiSo Fak.)","wisopaed"
"71","personalwirt","Personalwirtschaftslehre","allgbwlpersonal"
"73","pmv","PMV Forschungsgruppe","forschprimaermed"
"74","pneumologie","Pneumologie","inneremed3"
"76","privatrecht","Privatrecht, internationales und ausländisches","internationarecht"
"77","privatrechtsgesch","Privatrechtsgeschichte, neuere","neueprivatrecht"
"78","produktionswirt","Produktionswirtschaft","allgbwlproduktion"
"81","psychiatriehpf","Psychiatrie, heilpädagogisch","heilppsychiatrie"
"82","psychowiso","Psychologie (WiSo Fak.)","wisopsych"
"84","risiko","Risikomanagement und Versicherungslehre","versicherlehre"
"87","schulpaedagogik","Schulpädagogik","allgdidaktik"
"88","senioren","Seniorenstudium (Koordinierungsstelle)","koordstgasthoerer"
"90","sozialmedizin","Sozialmedizin","arbmed"
"91","sozialwg","Sozial- und Wirtschaftsgeschichte","wisogesch"
"92","soziologiemed","Soziologie, medizinische","medsoziologie"
"93","sportasta","Sportprogramm (Asta)","hochsport"
"94","sportuni","Sportprogramm (Uni)","campussport"
"95","sprechrat","SprecherInnenrat der Philosphischen Fakultät","fachschaftphil"
"96","staatllehrorthoptik","Staatl. Lehranstalt für Orthoptistinnen","orthoptik"
"97","staatlbauamt","Staatliches Bauamt Köln I","bauamt"
"98","steuerlehre","Steuerlehre (Allg. BWL)","allgbwlbetrsteuer"
"100","studentenwerk","Studierendenwerk","koelnstw"
"101","supplychain","Supply Chain Management und Management Science","allgbwlscm"
"103","theologieev","Theologie, Evangelische","evangtheol"
"106","treuhand","Treuhandseminar (Wirtschaftsprüfung)","allgbwlwipruefung"
"107","uhrmacher","Uhrmacher-Institut für klinische HNO-Forschung","jeanuhrmacher"
"108","unisport","Universitätssport","campussport"
"109","verbindungen","Verbindungen","studentverbindg"
"110","wipruef","Wirtschaftsprüfung","allgbwlwipruefung"
"112","wissenschaftsrecht","Wissenschaftsrecht","deutscheuroparecht"
"113","zentralbib","Zentralbibliothek für Medizin","deutschzentralbib"
"114","zentrallabor","Zentrallabor","klinchem"
"116","zentrumzahn","Zentrum für Zahn , Mund  und Kieferheilkunde","zahnmundkiefer"
"117","zivilprozessrecht","Zivilprozessrecht und Rechtsphilosophie","medizinrecht"
"120","gewerblrechtsschutz","Gewerblicher Rechtsschutz","buergrrechtschutz"
"121","corporatefin","Corporate Finance","allgbwlcf"
"122","uebersetzung","Übersetzungs- und Dolmetscherdienst","akuedo"
"124","hauptseminar","Hauptseminar (rechtswissenschaftliches)","rechtwiss"
"125","koelncampus","KölnCampus (Kölner Hochschulradio)","hochradio"
"126","campuswelle","Campuswelle Köln (Kölner Hochschulradio)","hochradio"
"127","europarecht","Europarecht (Recht der Europäischen Union)","rechteuropa"
"128","supplychainprod","Supply Chain Management und Produktion","allgbwlproduktion"
"129","empwisozentrum","Empirische Wirtschafts- und Sozialforschung (Zentrum)","zentrumempwiso"
"130","untfuehrung","Unternehmensführung und Logistik","allgbwlbetrplanung"
"132","blutspende","Blutspendezentrale","transfusion"
"133","sozialpsycho","Sozialpsychologie (WiSo-Fak.)","wisopsych"
"137","notfallmedizin","Notfallmedizin","zentralintensivnotfall"
"139","allgemeinmedizin","Allgemeinmedizin (Schwerpunkt)","schwerpunktam"
"140","lateinamerika","Lateinamerika (Lehr- und Forschungszentrum)","zentrumlateinamerika"
"141","publizistik","Publizistik (Geschichte)","geschpublizistik"
"142","islamwissenschaft","Islamwissenschaft (Orientalische Philologie)","arabistik"
"143","indophilo","Indonesische Philologie","malaiologie"
"144","dokuzentrumeuranwrecht","Dokumentationszentrum Europäisches Anwalts- und Notarrecht","europaanwrecht"
"145","forschungafrika","Forschungstelle Afrika","afrikaforschung"
"146","archafrika","Archäologie und Geschichte Afrikas","heinrbarth"
"149","seismo","Seismologische Station","erdbeben"
"151","fsk","FSK - Fachschafts-Konferenz","unifsk"
"152","kardiologie","Kardiologie","inneremed3"
"153","palaeontologie","Paläontologie","geologie"
"154","kosmochemie","Kosmochemie","mineralogie"
"155","hepatologie","Hepatologie und Gastroenterologie","gastroenter"
"156","wirtschaftsforschung","Wirtschaftsforschung, Labor","koelnlabwifo"
"158","rechtswissfak","Rechtswissenschaftliche Fakultät","jurfak"
"159","wirecht","Wirtschaftsrecht","buergrwirtschaft"
"160","internationwrecht","Internationales Wirtschaftsrecht","voelkerrechteuropa"
"161","vereinfoerderrechtswiss","Verein zur Förderung der Rechtswissenschaft","foerdervereinrechtswiss"
"162","prothetikzahn","Prothetik, zahnärztliche","zahnproth"
"163","berufswisopaed","Berufs-, Wirtschafts- und Sozialpädagogik","wisopaed"
"164","deutschdidaktik","Deutsche Sprache und ihre Didaktik","deutschsprachlit2"
"165","englischdidaktik","Englische Sprache und ihre Didaktik","englischsem2"
"166","geschphil","Geschichte und Philosophie","histsem2"
"167","sozialwissewf","Sozialwissenschaften (Humanwiss. Fak.)","vergleichendebildung"
"169","audiomz","Audiovisuelles Medienzentrum (AVMZ)","filmproduktion"
"170","antikekulturen","Antike Kulturen des Mittelmeerraumes (Lehr- und Forschungszentrum)","zentrumantikekulturen"
"171","intertranskult","Inter- und Transkulturelle Studien (Zentrum)","zentruminterkult"
"172","medienwisskoeln","Medienwissenschaften Köln (Zentrum)","zentrummedienwiss"
"173","mittelalterstudien","Mittelalterstudien (Zentrum)","zentrummittelalter"
"174","moderne","Moderneforschung (Zentrum)","zentrummoderne"
"175","osteuropa","Osteuropa (Zentrum)","zentrumosteuropa"
"177","vergleicheus","Vergleichende Europäische Studien (Zentrum)","zentrumvergleicheus"
"178","strafrechtausl","Strafrecht, ausländisches und internationales","auslrecht"
"179","verwaltungslehre","Verwaltungslehre, öffentliches Recht","oeffrechtverw"
"180","voelkereuroparecht","Völker- und Europarecht, Öffentliches Recht","oeffrechtvoelker"
"181","risikomanagement","Risikomanagement, Graduiertenkolleg","gradkolleg811"
"182","unternehmensentwicklung","Unternehmensentwicklung und Organisation","allgbwlorga"
"183","geschwisodv","Geschäftsstelle für Datenverarbeitungssysteme der WiSo Fakultät","wisoit"
"184","erziehungskultursoziologie","Erziehungs- und Kultursoziologie","soziologieewf"
"185","arbeitskreisportugallateinamer","Arbeitskreis Spanien-Portugal-Lateinamerika (ASPLA)","spanienportu"
"186","differentiellepsych","Differentielle Psychologie","sozialpsych2"
"187","innovativetechno","Innovative Technologien, Forschungsgruppe","betwinnovativ"
"188","allgbwlmarketing","Allgemeine Betriebswirtschaftslehre, Marketing and Marktforschung","marktforschg"
"189","careerservicesua","Career Service - Studierende & Arbeitswelt","studentarbeitswelt"
"190","voelkerk","Völkerkunde","ethnologie"
"191","nordphil","Nordische Philologie","skandinavistik"
"192","hoersaele","Hörsäle","zzhoersaele"
"193","arbeitsozialrecht","Arbeits- und Sozialrecht","deutscheurosozialrecht"
"194","europgesellschaftsrecht","Europäisches Gesellschaftsrecht","buergrhandel"
"198","paediatrischenephrologie","Pädiatrische Nephrologie, Immunologie und Hypertensiologie","kindernephro"
"199","experimentellewirtschaft","Experimentelle Wirtschaftsforschung","koelnlabwifo"
"200","fennistik","Fennistik","skandinavistik"
"201","strafrechtsvergleichung","Strafrechtsvergleichung (ISV)","strafrecht2"
