parent	child	reihenfolge	hierarlvl
1	accountingtaxation	allgbwlbetrsteuer	100	0
2	accountingtaxation	allgbwlcontrolling	100	0
3	accountingtaxation	allgbwlwipruefung	100	0
4	allgbwlfinanz	gradkolleg811	492	0
5	allgdidaktikschulforschung	allgdidaktik	518	0
6	allgdidaktikschulforschung	allgdidaktikgymnasium	519	0
7	allgdidaktikschulforschung	allgdidaktikhauptschule	520	0
8	allgdidaktikschulforschung	empirischeschulforschung1	718	0
9	allgdidaktikschulforschung	empirischeschulforschung2	719	0
10	allgdidaktikschulforschung	medienpaedagogik	717	0
11	allgemeinchirurgie	gefaesschirurgie	300	0
12	allgemeinchirurgie	viszeralklinik	299	0
13	allgemeinchirurgie	viszerallabor	679	0
14	allgkinder	 paediatrischeintensivstation	100	0
15	allgkinder	allgkinderlabor	12	0
16	allgkinder	kinderchirurgie	100	0
17	allgkinder	kinderendo	4	0
18	allgkinder	kinderkardio	5	0
19	allgkinder	kindernephro	6	0
20	allgkinder	kinderneuro	7	0
21	allgkinder	kinderonkologie	8	0
22	allgkinder	kinderpneumologie	11	0
23	allgkinder	kinderpoli	2	0
24	allgkinder	kindersaeugling	3	0
25	allgkinder	kinderstation1	0	0
26	allgkinder	kinderstation2	1	0
27	allgkinder	neonatologie	9	0
28	allgkinder	neuropaediatrie	10	0
29	allgkinder	sozialpaedzentrum	100	0
30	altertum	altegesch	12	0
31	altertum	byzantinistik	13	0
32	altertum	klassphil	14	0
33	altertum	mittellatein	15	0
34	altertum	numismatik	16	0
35	altertum	papyrologie	17	0
36	anaesthesie	akutschmerzdienst	100	0
37	anaesthesie	schmerzzentrum	100	0
38	anorgchemie	materialchemie	100	0
39	apotheke	apothekemitarbeiter	701	0
40	asiatischestudien	chinastudien	100	0
41	asiatischestudien	indologie	100	0
42	asiatischestudien	japanologie	100	0
43	asta	astaohneschranken	100	0
44	asta	astastudierenohneschranken	100	0
45	augen	allgaugenheilkunde	628	0
46	augen	augenimmunologie	100	0
47	augen	netzhautchirurgie	629	0
48	augen	schielbehandlung	630	0
49	autonref	auslaenderreferat	283	0
50	autonref	behindertenreferat	285	0
51	autonref	frauenlesbenreferat	286	0
52	autonref	lesbenschwulenreferat	287	0
53	bildungsphilosophie	antropologie	505	0
54	bildungsphilosophie	erwachsenenbildung	506	0
55	bildungsphilosophie	fruehekindheit	507	0
56	bildungsphilosophie	gerontagogik	508	0
57	bildungsphilosophie	historischsystempaeda	509	0
58	bildungsphilosophie	kindheitsforschung	510	0
59	bildungsphilosophie	philpaedwissenstheorie	511	0
60	biochemiemath	biochemie	18	0
61	biochemiemath	biochemie2	420	0
62	biochemiemath	nuklearch	421	0
63	biochemiemed	dgbf	479	0
64	biochemiemed	sfb589	476	0
65	biodidaktik	botanikewf	26	0
66	biodidaktik	gesunderz	28	0
67	biodidaktik	humanbioewf	25	0
68	biodidaktik	zoologieewf	27	0
69	biologie	biobibliothek	100	0
70	biologie	biochemiemath	4	0
71	biologie	biogeschaeftsfuehrung	100	0
72	biologie	biowerkstatt	100	0
73	biologie	botanik	1	0
74	biologie	ceplasbotanik	100	0
